sale_id,price_eth,price_z,buyer_activity,seller_activity,token_gap_h,mkt_code,label_wash
1147,38.69,0.697709080048802,1,3,473.34,1,0
1148,33.0,0.3651585185798334,33,3,473.34,2,0
1149,1.369,-1.4835070016002987,9,1,473.34,1,0
1150,32.69,0.34704064967730597,4,19,1424.0977777777778,2,0
1151,6.25,-0.1324479105043491,11,1,473.34,1,0
1152,6.095,-0.14668801806958146,1,1,473.34,1,0
1153,55.0,1.650942763275319,1,1,473.34,2,0
1154,40.0,0.7742716873465788,3,8,426.9533333333333,1,0
1155,56.0,1.7093875016705684,3,1,473.34,1,0
1156,31.75,0.29210259558577173,3,27,473.34,1,0
1157,31.788,0.2943234956447912,1,2,473.34,1,0
1158,32.0,0.30671378018458406,1,3,473.34,1,0
1159,37.0,0.5989374721608308,1,1,473.34,1,0
1160,37.5,0.6281598413584555,1,7,287.3383333333333,2,0
1161,2.7,-1.4057170547962219,1,6,55.76222222222222,1,0
1162,8.5,0.07426332834579795,6,3,473.34,2,0
1163,6.4459,-0.11445025197512962,1,37,37.645833333333336,1,0
1164,32.48,0.33476725461430357,4,7,473.34,1,0
1165,0.65,-1.525528768506483,4,6,473.34,1,0
1166,8.4,0.06507616217468033,6,3,2673.633888888889,2,0
1167,6.5,-0.10947999507655497,1,1,473.34,1,0
1168,8.8,0.10182482685915095,2,1,473.34,1,0
1169,43.0,0.9496059025323269,16,12,473.34,1,1
1170,31.9,0.30086930634505904,2,1,473.34,1,0
1171,6.4298,-0.11592938572867954,2,56,473.34,1,0
1172,6.2,-0.1370414935899079,1,1,473.34,2,0
1173,33.69,0.40548538807255535,1,9,473.34,1,0
1174,30.14,0.19800656676942033,1,14,723.0805555555555,1,0
1175,33.76,0.4095765197602228,1,14,971.9588888888889,1,0
1176,5.859847,-0.1682919149359497,1,1,3145.4313888888887,1,1
1177,32.3,0.3242472017031587,5,7,595.0602777777777,2,0
1178,33.5,0.3943808877774581,5,9,338.9763888888889,2,0
1179,5.879055,-0.16652724405780142,1,1,473.34,1,1
1180,9.8,0.1936964885703274,2,1,473.34,1,0
1181,30.098,0.19555188775681975,1,33,2115.9319444444445,1,0
1182,5.2487,-0.22443900537575004,1,56,473.34,1,0
1183,6.25,-0.1324479105043491,1,1,3103.7205555555556,1,0
1184,69.0,2.4691691008088097,3,2,473.34,2,0
1185,34.125,0.4309088492744889,1,1,473.34,1,1
1186,30.0,2.049504055136092,5,9,473.34,2,0
1187,34.0,0.4236032569750828,1,1,473.34,1,0
1188,28.28826,0.08978210689340133,1,1,473.34,1,1
1189,31.7,0.2891803586660092,1,3,473.34,1,0
1190,32.8,0.3534695709007834,2,2,473.34,1,0
1191,29.8984,0.183886317973128,17,33,473.34,1,1
1192,29.8985,0.1838921624469675,17,9,473.34,1,0
